error, message
SERVER::ERR::SHARING::003,Some data were not encoded at all.Have you encoded any data before calling this function?
SERVER::ERR::PARAM::004,Some data could be obtained securely. Start again the whole exchange.
SERVER::ERR::PARAM::009,Some parameters may not have been encoded on one server. Start again the whole exchange.
SERVER::ERR::PARAM::007,Some data may not have been received on a server. Start again the whole exchange.
SERVER::ERR::PARAM::008,The parameters may have not been created on the server yet. Please use ds.ls() function to check.
SERVER::ERR::PARAM::006, The arguments passed to the servers are incorrect. Their length may indicate they have no character. Numerical values may be set to 0 or be negative. Check the server-side function call.
SERVER::ERR::PARAM::005, The arguments passed to the servers are incorrect. The data type is either not numerical or character. Check the server-side function call.
SERVER::ERR::PARAM::001, A server is not allowed to taking part in sharing parameters or information
SERVER::ERR::PARAM::002, A function on the server has not received the appropriate arguments.
SERVER-ERR-000, Some error thrown by stop function on the server in an aggregate function.
ERR::SERVER::TESTING::001, options TESTING was set to 1.
ERR::SERVER::TESTING::002,options TESTING was set to 2.
ERR:001,Some elements are missing. Check you have passed as arguments the expected information 
ERR:002,All URLs should starts with `https'. It is more secure.
ERR:003,You have yet to specify some data computers name.
ERR:004,You have yet to specify the URLs of each data computer.
ERR:005,You have yet to specify the data tables.
ERR:006, Have you connected to the Opal server? ,Have you successfully started your Opal Servers? You need to pass a valid connection. Please use ds.login 
ERR:007,You have yet to provide a valid function. It should either be a character or a call type.
ERR:008,You have yet to provide an appropriate variable.name. It should a character of length greater than 1
ERR:009,You have yet to provide a valid value. It can be a valid 'assign server-side function' or a value.
ERR:010,You have yet to provide some login details. Have you build your login data frame?
ERR:011,The login data frame is too short. No server is specified. It needs to be greater of equal 1. Have you build your login data frame? 
ERR:012,You have yet to provide a valid class type. It should a valid R type.
ERR:013,You have yet to provide some users id; one for each server.
ERR:014,You have yet to provide some user passwords; one for each server.
ERR:015,You have yet to provide some ssl options; one for each server.
ERR:016,You have yet to provide some drivers for connecting to the servers; one for each server.
ERR:017,The connection data frame returned was set to null. Something must have gone wrong with the connection to the server(s). Check they are running or restart them.
ERR:018,The parameters could not be shared. Some settings could not be created on each server involved in the exchanged.
ERR:019,The parameters could not be shared. Some errors occurred during the exchange.
ERR:020,More than one DataSHIELD server is required for sharing parameters. 
  
